DATAFLOW,LAST UPDATE,freq,meat,meatitem,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:APRO_MT_PWGTM(1.0),29/04/22 23:00:00,M,B1200,SL,THS_T,IE,1977-09,44.60,
ESTAT:APRO_MT_PWGTM(1.0),29/04/22 23:00:00,M,B1200,SL,THS_T,IE,1977-10,42.60,
ESTAT:APRO_MT_PWGTM(1.0),29/04/22 23:00:00,M,B1200,SL,THS_T,IE,1977-11,47.20,
ESTAT:APRO_MT_PWGTM(1.0),29/04/22 23:00:00,M,B1200,SL,THS_T,IE,1977-12,35.80,
ESTAT:APRO_MT_PWGTM(1.0),29/04/22 23:00:00,M,B1200,SL,THS_T,IE,1978-01,40.60,
ESTAT:APRO_MT_PWGTM(1.0),29/04/22 23:00:00,M,B1200,SL,THS_T,IE,1978-02,25.90,
ESTAT:APRO_MT_PWGTM(1.0),29/04/22 23:00:00,M,B1200,SL,THS_T,IE,1978-03,26.40,
ESTAT:APRO_MT_PWGTM(1.0),29/04/22 23:00:00,M,B1200,SL,THS_T,IE,1978-04,20.30,
ESTAT:APRO_MT_PWGTM(1.0),29/04/22 23:00:00,M,B1200,SL,THS_T,IE,1978-05,23.20,
ESTAT:APRO_MT_PWGTM(1.0),29/04/22 23:00:00,M,B1200,SL,THS_T,IE,1978-06,30.90,
ESTAT:APRO_MT_PWGTM(1.0),29/04/22 23:00:00,M,B1200,SL,THS_T,IE,1978-07,30.90,
ESTAT:APRO_MT_PWGTM(1.0),29/04/22 23:00:00,M,B1200,SL,THS_T,IE,1978-08,34.50,
ESTAT:APRO_MT_PWGTM(1.0),29/04/22 23:00:00,M,B1200,SL,THS_T,IE,1978-09,38.00,
ESTAT:APRO_MT_PWGTM(1.0),29/04/22 23:00:00,M,B1200,SL,THS_T,IE,1978-10,41.60,
ESTAT:APRO_MT_PWGTM(1.0),29/04/22 23:00:00,M,B1200,SL,THS_T,IE,1978-11,43.90,
ESTAT:APRO_MT_PWGTM(1.0),29/04/22 23:00:00,M,B1200,SL,THS_T,IE,1978-12,31.70,
ESTAT:APRO_MT_PWGTM(1.0),29/04/22 23:00:00,M,B1200,SL,THS_T,IE,1979-01,29.00,
ESTAT:APRO_MT_PWGTM(1.0),29/04/22 23:00:00,M,B1200,SL,THS_T,IE,1979-02,22.60,
